"","empmean","empsd","empsamplesize.ave","timewindow","expo4.muCIrecover","expo4.estmu","expo4.biasmu","expo4.widthmu","expo4.sdCIrecover","expo4.estsd","expo4.biassd","expo4.widthsd","GTsetting"
"1",9.70340813996106,5.58654503765761,66.37,"D1 - D15",45,9.61809868462472,-0.00879170020531295,2.91430162109558,48,5.62929743435527,0.00765274358471513,2.75269918922156,"longGT"
"2",9.48555246153365,5.44703603290789,76.499,"D10 - D19",49,9.4567962405496,-0.0030315810387076,2.64410779568878,46,5.41420681073513,-0.00602698825093662,2.49299976242999,"longGT"
"3",9.04482780802144,5.24866653925233,163.291,"D20 - D29",46,8.93192232890015,-0.0124828776752565,1.73372206003682,48,5.19670024830068,-0.00990085587701606,1.63739702720071,"longGT"
"4",8.61880815538006,5.06062391228667,239.429,"D30 - D39",43,8.53204535192957,-0.0100666822936911,1.31140666631396,50,4.93027046974969,-0.0257583738282745,1.23482165226924,"longGT"
"5",8.44207145406503,5.12271863054744,209.115,"D40 - D49",44,8.45724486299365,0.00179735613601362,1.44251050382028,46,5.03448369765313,-0.0172242395606412,1.36784494700744,"longGT"
"6",8.68405626762536,5.33299780218748,108.514,"D50 - D59",47,8.62193736304449,-0.00715321304543515,2.14250463284166,46,5.29288685733303,-0.00752127533935987,2.05815178131376,"longGT"
"7",9.28028735716223,5.65194297772381,57.487,"D60 - D100",49,9.16721736019105,-0.0121838896382792,3.26506899442458,47,5.53098653241751,-0.0214008608690904,3.13548853682737,"longGT"
"8",6.8761314449679,3.7697871776971,44.785,"D1 - D10",46,6.98141796353419,0.0153118827656129,2.47999884214944,48,3.79128491481828,0.00570263946154759,2.34534596704851,"mediumGT"
"9",6.83640242473565,3.74579278152257,45.237,"D5 - D11",47,7.02942327200756,0.0282342722501985,2.52052456003259,44,3.7757656851328,0.00800175166071249,2.3901900541584,"mediumGT"
"10",6.56096323574614,3.62290146897859,106.415,"D12 - D18",46,6.58539903874001,0.00372442309396548,1.55429393679534,48,3.5722190774455,-0.0139894479513346,1.46189835367464,"mediumGT"
"11",6.27517689003934,3.48105911548245,194.115,"D19 - D25",44,6.1442371214045,-0.0208663071861254,1.08903656554523,46,3.456919253879,-0.00693463132989736,1.03275687473502,"mediumGT"
"12",6.05494426057691,3.42624101367687,233.766,"D26 - D32",44,5.9102881382155,-0.0238905786966951,0.938513259189403,43,3.34921995225208,-0.0224797558365948,0.893126672398105,"mediumGT"
"13",6.02590812763605,3.49268802484361,171.476,"D33 - D39",46,5.91683240351774,-0.0181011263046092,1.12873488589315,47,3.40228534543248,-0.0258834109339532,1.0745671264078,"mediumGT"
"14",6.3153810191905,3.69413526991899,119.849,"D40 - D60",43,6.16598500657005,-0.0236558985382633,1.44959492640596,44,3.58630667858189,-0.0291891291082765,1.39169650218486,"mediumGT"
"15",3.9104078251931,1.90763628206834,84.892,"D1 - D10",47,3.937099488973,0.0068258005233981,1.06834640527532,48,1.93920658675112,0.0165494360636469,1.01635904542416,"shortGT"
"16",3.82674956406146,1.85529839472491,90.129,"D9 - D12",44,3.77761655018704,-0.0128393596319575,1.01209893603499,49,1.87078999818543,0.00834992554543446,0.960679437982005,"shortGT"
"17",3.70261122356138,1.80267576287187,163.891,"D13 - D16",40,3.61450236395011,-0.0237964113138827,0.712201744498533,46,1.76933174879525,-0.0184969558937772,0.667927609175383,"shortGT"
"18",3.60423230691049,1.77517460733732,209.237,"D17 - D20",39,3.45528827963009,-0.0413247578395064,0.612794870750052,48,1.76871731395935,-0.00363755393485088,0.56971125203086,"shortGT"
"19",3.56842195550821,1.78419635901786,179.422,"D21 - D24",45,3.44377644067206,-0.0349301501869049,0.676403625360361,49,1.76273749153126,-0.0120271893719209,0.631477600428036,"shortGT"
"20",3.59360203146052,1.81444707053201,110.093,"D25 - D28",48,3.44899618020602,-0.0402398067422431,0.877666208586206,49,1.79620619824549,-0.0100531300046,0.821759103171533,"shortGT"
"21",3.69292573036765,1.86554597881935,78.443,"D29 - D40",47,3.6005411222422,-0.0250166439486607,1.09315128391057,48,1.89828265023662,0.0175480378339372,1.03247933705287,"shortGT"
