"","empmean","empsd","empsamplesize.ave","timewindow","muCIrecover","estmu","biasmu","widthmu","sdCIrecover","estsd","biassd","widthsd"
"1",6.8761314449679,3.7697871776971,44.785,"D1 - D10",43,7.21427706065825,0.0491767236267446,2.87792161051416,45,4.30090017688593,0.140886732898612,2.8252438361625
"2",6.83640242473565,3.74579278152257,45.237,"D5 - D11",42,7.09268074389317,0.037487307392883,2.88344797622582,39,4.15954146451505,0.110456906488112,2.86857551948505
"3",6.56096323574614,3.62290146897859,106.415,"D12 - D18",39,6.6945267964041,0.0203573097209659,1.97902972728336,41,4.14417136589223,0.143881886211108,1.98289844432355
"4",6.27517689003934,3.48105911548245,194.115,"D19 - D25",40,6.10937557739,-0.0264217751235852,1.38716496221005,32,3.96944754938089,0.140298804960326,1.39618791149573
"5",6.05494426057691,3.42624101367687,233.766,"D26 - D32",37,5.62942625469448,-0.0702761227139501,1.20535255292246,30,3.84315148672812,0.121681595482346,1.22492574061473
"6",6.02590812763605,3.49268802484361,171.476,"D33 - D39",40,5.68074405892923,-0.0572800084893142,1.49448549088143,34,4.00798906096724,0.147537092479567,1.53228117672423
"7",6.3153810191905,3.69413526991899,119.849,"D40 - D60",36,5.80314517208329,-0.0811092546199004,1.95744970856852,35,4.32089335242977,0.169663002763978,2.04958991567331
