"","mu","muLB","muUB","sd","sdLB","sdUB"
"1",4.91142899810619,4.22557601371063,5.64789257734633,2.99002548800335,2.27390925595865,3.68298943392879
"2",5.0945632517488,4.38043685876812,5.88244935352396,3.14839402671826,2.35939693432043,3.83928784989184
"3",5.1828275007758,4.60742491463886,5.86749706970953,3.30174385718697,2.6712107187669,3.93476041037009
"4",5.43101441586512,4.83011708601511,6.03506470167893,3.36268802404694,2.80340632963199,3.89134787836525
"5",5.40243314451542,4.86540012142459,5.97927589569052,3.37569690957744,2.87729531524521,3.86831888033853
"6",5.91835569323246,5.36235570777971,6.47062383560014,3.51872157370991,3.06311521356204,3.96534380667929
"7",5.88648621363452,5.38514088995906,6.43757339664011,3.44471747083592,2.97361378544898,3.86539643624717
"8",6.09618083484853,5.60727309543272,6.60090297571143,3.4651845309141,3.05885436366168,3.88672490774701
"9",6.19450283947616,5.68232579779187,6.69544668489741,3.53448175063297,3.12084970731726,3.91569596268841
"10",6.51413781778403,6.03212986269728,7.02738911726823,3.46349664242102,3.06092379429764,3.80638308433656
"11",6.54752961305023,6.08536764138101,7.05601448409282,3.38647147157156,3.02953476607423,3.79415494502865
"12",6.70246828158172,6.16055739015358,7.23424867110444,3.31027465060641,2.88958285514976,3.66641785087985
"13",6.73138951292605,6.15645778221193,7.30311250670779,3.33712614139006,2.89191423049897,3.75739711697441
"14",7.22735441568623,6.64630013589743,7.86413017778811,3.4059262299478,2.97203421774255,3.81117612370427
"15",7.60181309823399,6.86070396135284,8.25747240249614,3.59720940286158,3.03650696958638,4.05898622231143
"16",7.72858550159432,6.9781651472263,8.46872284567665,3.38214167784925,2.83770239983656,3.83893626166933
"17",8.0841151271931,7.20329687854745,8.99442561475417,3.70603862549337,2.99709213138576,4.29770807088715
