"","mean","mean.lb","mean.ub","sd","sd.lb","sd.ub","timewindow","samplesize"
"1",5.47008655660788,4.5975927904459,6.46860942905477,3.8107186139833,2.57444560334599,5.44799013530574,"2020-01-01 2020-01-20",62
"2",5.63598206224547,4.66819231096521,6.67366561280937,3.99388700500698,2.76521823099715,5.43776451654793,"2020-01-15 2020-01-21",62
"3",5.70199969671588,4.83581099129137,6.5918026073659,4.13786678861841,2.97417559941042,5.39140208750489,"2020-01-16 2020-01-22",90
"4",5.98224398697179,5.27606040204875,6.75038057394643,4.24465969268496,3.28225844964043,5.25905205578259,"2020-01-17 2020-01-23",118
"5",5.84244319484417,5.13177372322656,6.54145420770896,4.23357834839202,3.39538773410292,5.13201425957649,"2020-01-18 2020-01-24",134
"6",6.35581599933204,5.65412412319792,7.03675493544442,4.31141639677133,3.57178487041534,5.12586481634462,"2020-01-19 2020-01-25",147
"7",6.20432444010834,5.49594574173569,6.89366508739906,4.35623437015695,3.62668155328319,5.1496742423369,"2020-01-20 2020-01-26",155
"8",6.45745930713545,5.78800192188204,7.12740658415453,4.36537431531036,3.69256032020785,5.06786578290508,"2020-01-21 2020-01-27",167
"9",6.59334081360706,5.95374988006201,7.24696476221367,4.50121189484385,3.81403991255656,5.20637158317319,"2020-01-22 2020-01-28",173
"10",6.83192187487566,6.18849476291625,7.5027202855715,4.29173384559207,3.67174002916747,4.8863045330734,"2020-01-23 2020-01-29",176
"11",6.75603386059191,6.10627654919093,7.38728111689452,4.17271024002242,3.50257690674964,4.82539796310997,"2020-01-24 2020-01-30",157
"12",6.9255157165433,6.23528652534506,7.61310142012589,3.9806262094336,3.28942488021457,4.59933154165831,"2020-01-25 2020-01-31",145
"13",6.70137951153205,5.94119618691073,7.47837212485384,3.98214896042087,3.12834578730261,4.6491981886876,"2020-01-26 2020-02-01",123
"14",7.06461756966975,6.3247074613878,7.86096304633013,3.83624090134085,3.00484677573801,4.56159243320151,"2020-01-27 2020-02-02",110
"15",7.18947758936697,6.37139552662943,8.07475586995778,3.90974867825456,3.00601695169136,4.73131076967784,"2020-01-28 2020-02-03",87
"16",7.14235086149502,6.27179783189343,8.05511836752012,3.37868986772136,2.52327079868065,4.16988314518069,"2020-01-29 2020-02-04",76
"17",7.08111307867145,6.00703994819069,8.19448123598391,3.1742382697319,2.09950973632588,3.90994851487718,"2020-01-30 2020-02-29",70
