"","mean","mean.lb","mean.ub","sd","sd.lb","sd.ub","timewindow","samplesize"
"1",4.2534518632817,3.64630105785031,4.8459526237626,2.44949102065503,1.34944771289452,3.55069141789285,"2020-01-01 2020-01-20",40
"2",4.40830739713499,3.64471435721987,5.07574542648092,2.71598512901162,1.27976978352197,4.05771953002857,"2020-01-15 2020-01-21",35
"3",4.27964741831208,3.60988085902147,4.93005736023115,2.71584712229431,1.42202382260916,3.91998099854328,"2020-01-16 2020-01-22",38
"4",4.20802613804468,3.63672076302357,4.74840773216018,2.36180802203288,1.33328878899402,3.15182309179131,"2020-01-17 2020-01-23",51
"5",4.584026472562,4.02425620699858,5.14924256765572,2.67468538628891,1.74380063323074,3.64986328290689,"2020-01-18 2020-01-24",57
"6",5.65863183362581,4.99348311124714,6.31342944470782,3.38294427742647,2.44090493142626,4.46994983874607,"2020-01-19 2020-01-25",75
"7",5.77610907285568,5.2369539692132,6.38726776476523,2.67154584203355,2.15183026141162,3.21394775716655,"2020-01-20 2020-01-26",77
"8",5.78609920226607,5.24479249303303,6.38168488580609,2.64423427828197,2.11042728631006,3.17142890110829,"2020-01-21 2020-01-27",79
"9",5.74828877902476,5.18011330245394,6.32592842954517,2.85587957422811,2.35018110597729,3.30470181422616,"2020-01-22 2020-01-28",84
"10",6.0925101176224,5.57155892241885,6.5975988506354,2.81532244321613,2.31159806749476,3.35629456122444,"2020-01-23 2020-01-29",102
"11",6.22693938819546,5.7181999509031,6.78549641735696,2.88419365967138,2.34080533426133,3.3759886418145,"2020-01-24 2020-01-30",97
"12",6.21559170724278,5.6601801480723,6.75394130025873,2.87906952127836,2.3447004073008,3.41677567063019,"2020-01-25 2020-01-31",88
"13",6.21103410253628,5.49749678714133,6.90883827161366,3.14271033897487,2.46132712544784,3.80669304133436,"2020-01-26 2020-02-01",69
"14",6.80117665665287,5.90584441618861,7.69297437033106,3.84143492668757,2.91811660020084,4.656630612257,"2020-01-27 2020-02-02",62
"15",7.38669536676951,6.32332400904924,8.43003853885131,4.47025798009363,3.36593566090008,5.48853897018989,"2020-01-28 2020-02-03",57
"16",7.91503232162205,6.89257724925341,8.97300458856451,3.77823710825757,2.96181758592837,4.53391649969206,"2020-01-29 2020-02-04",49
"17",9.39987746010971,8.05934406105494,10.6778662518655,4.84646238910759,3.33226720380091,6.06442172089746,"2020-01-30 2020-02-29",43
