,empmean,empsd,emprho,empsamplesize.ave,muCIrecover,n_sim,estmu,biasmu,widthmu,sdCIrecover,estsd,biassd,widthsd,rhoCIrecover,estrho,biasrho,widthrho
1,6.745743057,3.510508908,0.014317594,28.892,41,48,7.136489544,0.057924899,2.8414016,44,3.571648045,0.017416033,3.461892545,41,-0.199329482,-14.92199599,0.996061355
2,6.653539768,3.47531047,0.02037741,54.282,43,48,7.038380737,0.057840034,1.857998259,45,3.405662463,-0.020040801,2.202552786,34,-0.182549533,-9.958426598,0.68029539
3,6.463608469,3.355176295,0.023453573,95.478,42,48,6.798212912,0.051767437,1.359942297,44,3.242939857,-0.033451726,1.543872749,37,-0.142882683,-7.092149838,0.524386106
4,6.267336423,3.229061184,0.032265547,141.353,29,48,6.679054735,0.06569271,1.053601481,44,3.085435901,-0.04447896,1.151738953,33,-0.115683442,-4.585355063,0.439342107
5,6.108254929,3.181654234,0.025416497,169.155,28,48,6.511632638,0.066038126,0.917265335,38,2.967129895,-0.067425409,0.997702602,36,-0.109811949,-5.32049888,0.388320383
6,6.080425303,3.246805717,0.008788144,156.23,32,48,6.492055511,0.067697601,0.959902666,42,3.011074413,-0.072604068,1.05152593,33,-0.143917167,-17.37628776,0.394232311
7,6.477464827,3.381178297,0.192679418,28.989,41,48,6.484279034,0.001051987,2.351180997,41,3.182415404,-0.058785096,2.972083223,40,0.035891422,-0.813724674,0.9777312
8,6.42277484,3.375469924,0.215587396,54.811,45,48,6.57779055,0.024135318,1.590388665,39,2.966674823,-0.121107612,1.794399339,38,0.040750499,-0.810979213,0.704235475
9,6.268333857,3.264347302,0.22037572,96.542,44,48,6.453742325,0.029578589,1.204844152,41,2.982843903,-0.086235738,1.360087537,43,0.121802259,-0.447297285,0.522871622
10,6.13181914,3.17216466,0.230793501,142.89,28,48,6.47770165,0.056407813,0.951334523,38,2.905630217,-0.08402289,1.05872281,40,0.140170894,-0.392656669,0.423825316
11,6.054892249,3.148332658,0.226027134,170.931,33,48,6.404742639,0.057779788,0.867244556,38,2.898018062,-0.079507035,0.961160634,39,0.134692339,-0.404087744,0.382878404
12,6.123510418,3.229875646,0.210200568,155.715,37,48,6.414751191,0.047561081,0.906568579,33,2.929474772,-0.093006947,1.008896894,46,0.151725189,-0.278188489,0.385542166
13,6.17244791,3.114256686,0.38415054,29.075,42,49,6.243965697,0.011586617,2.078480487,39,2.900065527,-0.068777619,2.775355915,42,0.223350641,-0.418585638,0.959613778
14,6.171392404,3.201654575,0.424883206,55.409,45,49,6.315901054,0.023415891,1.40440234,37,2.831585528,-0.115586813,1.727269908,39,0.326692011,-0.231101615,0.617764788
15,6.063462796,3.143519041,0.435868902,97.787,41,49,6.26804844,0.033740727,1.04727101,37,2.820585694,-0.102729884,1.290050313,45,0.377832516,-0.133151015,0.454824984
16,5.996861141,3.082398096,0.445389973,144.931,31,49,6.284514185,0.047967268,0.852644453,36,2.828920266,-0.082233969,1.050886635,46,0.39681771,-0.109055584,0.355522361
17,6.016200517,3.113012803,0.444061465,172.553,34,49,6.238007542,0.03686829,0.759428241,34,2.794662489,-0.102264377,0.929357413,44,0.42063013,-0.052765971,0.302210998
18,6.187731465,3.208283249,0.436164619,155.207,38,49,6.396321593,0.033710275,0.824781018,32,2.913774013,-0.091796519,1.004457918,44,0.414437081,-0.049814994,0.311270781
19,5.843545345,2.722489744,0.616334276,29.474,33,48,5.917533955,0.012661596,1.566955623,42,2.699084793,-0.008596892,2.459157588,41,0.620873328,0.007364595,0.646614355
20,5.931647667,2.981638887,0.669468564,55.257,37,48,6.022042927,0.015239486,1.077057579,35,2.680487766,-0.101001876,1.579310236,41,0.658081186,-0.017009579,0.394367761
21,5.875892687,2.988021405,0.682759327,99.139,25,48,6.001561891,0.021387253,0.817273761,33,2.72318247,-0.088633547,1.199296383,44,0.688828886,0.008889748,0.263204025
22,5.879382465,2.984522002,0.691651057,146.897,24,48,6.097850828,0.037158386,0.66056957,35,2.822748938,-0.054204011,0.962973888,40,0.710155813,0.026754469,0.188650697
23,5.981122622,3.033733017,0.689322168,174.176,28,48,6.177651888,0.032858257,0.612758437,33,2.842652437,-0.062985299,0.871371783,41,0.705123485,0.022922979,0.170378686
24,6.264823282,3.183848273,0.688725743,154.675,32,48,6.376688283,0.01785605,0.664597787,29,2.945876792,-0.074743348,0.943047572,37,0.706206102,0.025380726,0.175603694
