"","empmean","empsd","emprho","empsamplesize.ave","timewindow","muCIrecover","estmu","biasmu","widthmu","sdCIrecover","estsd","biassd","widthsd","rhoCIrecover","estrho","biasrho","widthrho","rho_simset"
"1",6.74574305719424,3.51050890808988,0.0143175936978727,28.892,"D5 - D10",44,7.16598130837707,0.0622968066853149,2.94308148453881,48,3.63649101921538,0.0358871361457542,3.54852512116714,40,-0.235463690033772,-17.4457586241434,0.974147906522987,0
"2",6.65353976786719,3.47531046987859,0.0203774101494003,54.282,"D10 - D15",47,7.03516402727681,0.0573565760067527,1.84434184771145,46,3.37562386409567,-0.0286842302714928,2.15287705183627,38,-0.186605232222265,-10.1574557735325,0.69459745372228,0
"3",6.46360846876603,3.35517629483589,0.023453573284865,95.478,"D15 - D20",42,6.85416694216959,0.060424215868095,1.37095405609147,46,3.2502006044361,-0.0312876824271078,1.51848125214366,36,-0.142439310199515,-7.07324557624801,0.522227878784263,0
"4",6.2673364226021,3.2290611842511,0.0322655470475425,141.353,"D20 - D25",34,6.66451486210211,0.0633727651937839,1.08142390500779,44,3.07712749497981,-0.047051969783757,1.13518987228186,30,-0.119412028564567,-4.70091442703936,0.437135536435853,0
"5",6.10825492936274,3.18165423360442,0.0254164974016926,169.155,"D25 - D30",33,6.52048054417842,0.0674866421887683,0.938738349696462,42,2.94661824583827,-0.0738722596829405,1.03750713188225,37,-0.11366021167482,-5.47190696178503,0.389161142780363,0
"6",6.08042530306484,3.24680571676016,0.00878814353617823,156.23,"D30 - D35",30,6.52025310616737,0.0723350392744457,0.956699136209626,45,3.02124748590494,-0.0694708124021334,1.04410157497663,37,-0.136177759030782,-16.4956229913835,0.394476517067416,0
"7",6.47746482668933,3.38117829661163,0.192679418285492,28.989,"D5 - D10",44,6.61959872546495,0.021942828340801,2.40444723619571,45,3.31125595148864,-0.0206798751763714,3.03299873698766,43,0.0210962491853648,-0.890511143467817,0.962060440132836,0.25
"8",6.42277484033857,3.37546992399677,0.215587396238644,54.811,"D10 - D15",45,6.6080978258594,0.0288540374102635,1.59564011664216,40,2.97170085081163,-0.119618625636292,1.85234146277977,39,0.0535949711760836,-0.751400257569989,0.677946084714435,0.25
"9",6.26833385661417,3.26434730215274,0.220375720132457,96.542,"D15 - D20",46,6.47510946580139,0.0329873318679466,1.23476919152993,41,2.96809201742104,-0.0907548300808331,1.37968031731268,46,0.1165636138932,-0.471068710186677,0.539643211047756,0.25
"10",6.13181914002884,3.17216465952661,0.230793500895156,142.89,"D20 - D25",34,6.42627826590494,0.0480214956037861,0.994924945997725,42,2.89999786199299,-0.0857984457762138,1.1060529820031,41,0.130491894987197,-0.434594585718097,0.425564719250954,0.25
"11",6.05489224908039,3.14833265821441,0.226027133673537,170.931,"D25 - D30",35,6.36593329917838,0.0513702040106876,0.860247244786477,36,2.88706602293075,-0.0829857145502048,0.938023761628543,41,0.142601492870198,-0.369095689740663,0.37925921251146,0.25
"12",6.12351041792482,3.22987564552635,0.210200567770489,155.715,"D30 - D35",35,6.42173489413228,0.0487015544767422,0.92364273619114,35,2.95519469636036,-0.0850438157105036,1.01111196615523,48,0.153092531847608,-0.271683547426165,0.371294407148544,0.25
"13",6.17244791048268,3.11425668599027,0.384150539741775,29.075,"D5 - D10",45,6.25516130959362,0.0134004207585878,2.15104127765274,41,2.94845646631678,-0.0532390988897475,2.82013278833968,44,0.201352684856533,-0.475849532863128,0.961221356094503,0.5
"14",6.17139240363549,3.20165457531228,0.424883205931551,55.409,"D10 - D15",43,6.39559107793432,0.0363287017961715,1.37004674510457,37,2.76663378339664,-0.135873743304495,1.74338662963567,41,0.332635224914021,-0.217113737915995,0.580305596476352,0.5
"15",6.06346279646806,3.14351904096756,0.435868902474686,97.787,"D15 - D20",42,6.29275434543889,0.0378152809157828,1.05601081622226,38,2.82296346337876,-0.10197348048833,1.30998972541147,44,0.378723439295113,-0.131106997666326,0.43953672071014,0.5
"16",5.99686114138691,3.08239809579283,0.445389973164538,144.931,"D20 - D25",33,6.28546179992499,0.0481252861678458,0.832592825238157,37,2.78170908837798,-0.0975503481608256,1.04560414793357,47,0.389601628494647,-0.12525729816841,0.357231240203494,0.5
"17",6.01620051745557,3.11301280288025,0.444061464732656,172.553,"D25 - D30",35,6.24406395011842,0.0378749730833807,0.737820705023033,31,2.76608113197131,-0.111445629323448,0.923270219717346,45,0.42159762575029,-0.0505872289456363,0.297351560825861,0.5
"18",6.18773146511494,3.20828324854272,0.436164618716562,155.207,"D30 - D35",37,6.4108755886897,0.0360623477008983,0.83172164997872,37,2.95866406659712,-0.0778045959810382,1.03649852602659,45,0.404804143488202,-0.0719005482852791,0.305470768086042,0.5
"19",5.84354534454025,2.72248974365275,0.616334275697512,29.474,"D5 - D10",38,5.9083865965202,0.0110962178192962,1.59667494052547,45,2.61214608026802,-0.0405304239040716,2.41374077825471,44,0.580496686485382,-0.0581463511364386,0.61819650543852,0.75
"20",5.93164766734044,2.98163888695781,0.669468563607069,55.257,"D10 - D15",39,6.0356556865594,0.0175344229886798,1.08860943287621,38,2.65928957349004,-0.108111453361362,1.6395393144812,42,0.647909931097553,-0.0322026061886448,0.399856780287552,0.75
"21",5.87589268680148,2.9880214049327,0.682759327253168,99.139,"D15 - D20",32,5.9991045841419,0.0209690516671925,0.84393651605877,35,2.72042380562942,-0.0895567879338229,1.2017489645999,45,0.676215760560135,-0.00958400190497355,0.274770036738652,0.75
